
# Surface 0 of 1 surfaces

# Curve title: "cos(t),t,sin(t)"
# IsoCurve 0, 100 points
# x y z type
-0.991321  9.29293  0.131467 i
-0.997539  9.49495 -0.070114 i
-0.963184  9.69697 -0.268843 i
-0.889653  9.89899 -0.456637 i
-0.779936  10.101 -0.625859 i
-0.638497  10.303 -0.769624 i
-0.471088  10.5051 -0.882086 i
-0.284518  10.7071 -0.958671 i
-0.0863756  10.9091 -0.996263 i
 0.11528  11.1111 -0.993333 i
 0.312247  11.3131 -0.950001 i
 0.496513  11.5152 -0.868029 i
 0.660585  11.7172 -0.750751 i
 0.797788  11.9192 -0.602938 i
 0.902542  12.1212 -0.430601 i
 0.970587  12.3232 -0.24075 i
 0.999155  12.5253 -0.0411065 i
 0.987083  12.7273  0.160209 i
 0.934863  12.9293  0.355008 i
 0.844619  13.1313  0.535367 i
 0.720022  13.3333  0.693952 i
 0.566138  13.5354  0.82431 i
 0.389228  13.7374  0.921142 i
 0.196486  13.9394  0.980507 i
-0.00424719  14.1414  0.999991 i
-0.204808  14.3434  0.978802 i
-0.397038  14.5455  0.917802 i
-0.57312  14.7475  0.819472 i
-0.72589  14.9495  0.68781 i
-0.849136  15.1515  0.528174 i
-0.937845  15.3535  0.347054 i
-0.988408  15.5556  0.151818 i
-0.99877  15.7576 -0.0495921 i
-0.968507  15.9596 -0.248986 i
-0.898852  16.1616 -0.438252 i
-0.792638  16.3636 -0.609693 i
-0.654184  16.5657 -0.756336 i
-0.489122  16.7677 -0.872215 i
-0.304166  16.9697 -0.952619 i
-0.106838  17.1717 -0.994276 i
 0.094835  17.3737 -0.995493 i
 0.292651  17.5758 -0.956219 i
 0.478564  17.7778 -0.878053 i
 0.645012  17.9798 -0.764173 i
 0.785224  18.1818 -0.619211 i
 0.8935  18.3838 -0.449064 i
 0.965433  18.5859 -0.260652 i
 0.998099  18.7879 -0.061638 i
 0.990168  18.9899  0.139883 i
 0.941964  19.1919  0.335714 i
 0.855447  19.3939  0.517891 i
 0.734136  19.596  0.679003 i
 0.582964  19.798  0.812498 i
 0.408082  20  0.912945 i

# IsoCurve 8, 100 points
# x y z type
 1  0  0 i
 0.979663  0.20202  0.200649 i
 0.91948  0.40404  0.393137 i
 0.821898  0.606061  0.569634 i
 0.690887  0.808081  0.722963 i
 0.531775  1.0101  0.846886 i
 0.351034  1.21212  0.936363 i
 0.156015  1.41414  0.987755 i
-0.0453497  1.61616  0.998971 i
-0.24487  1.81818  0.969556 i
-0.43443  2.0202  0.900705 i
-0.606321  2.22222  0.79522 i
-0.75355  2.42424  0.65739 i
-0.87013  2.62626  0.492822 i
-0.951319  2.82828  0.308209 i
-0.993814  3.0303  0.11106 i
-0.995887  3.23232 -0.0906061 i
-0.957454  3.43434 -0.288587 i
-0.880077  3.63636 -0.47483 i
-0.766905  3.83838 -0.64176 i
-0.622541  4.0404 -0.782588 i
-0.452855  4.24242 -0.891584 i
-0.26475  4.44444 -0.964317 i
-0.0658766  4.64646 -0.997828 i
 0.135676  4.84848 -0.990753 i
 0.33171  5.05051 -0.943381 i
 0.514253  5.25253 -0.857639 i
 0.675879  5.45455 -0.737013 i
 0.810014  5.65657 -0.58641 i
 0.911204  5.85859 -0.411956 i
 0.975331  6.06061 -0.220746 i
 0.999789  6.26263 -0.0205576 i
 0.983581  6.46465  0.180467 i
 0.927368  6.66667  0.374151 i
 0.833435  6.86869  0.552617 i
 0.705604  7.07071  0.708607 i
 0.549073  7.27273  0.835775 i
 0.370209  7.47475  0.928948 i
 0.176288  7.67677  0.984339 i
-0.0248037  7.87879  0.999692 i
-0.224886  8.08081  0.974385 i
-0.415822  8.28283  0.909446 i
-0.589845  8.48485  0.807517 i
-0.739877  8.68687  0.672743 i
-0.859815  8.88889  0.510606 i
-0.944782  9.09091  0.327701 i
-0.991321  9.29293  0.131467 i
-0.997539  9.49495 -0.070114 i
-0.963184  9.69697 -0.268843 i
-0.889653  9.89899 -0.456637 i
-0.779936  10.101 -0.625859 i
-0.638497  10.303 -0.769624 i
-0.471088  10.5051 -0.882086 i
-0.284518  10.7071 -0.958671 i
-0.0863756  10.9091 -0.996263 i
 0.11528  11.1111 -0.993333 i
 0.312247  11.3131 -0.950001 i
 0.496513  11.5152 -0.868029 i
 0.660585  11.7172 -0.750751 i
 0.797788  11.9192 -0.602938 i
 0.902542  12.1212 -0.430601 i
 0.970587  12.3232 -0.24075 i
 0.999155  12.5253 -0.0411065 i
 0.987083  12.7273  0.160209 i
 0.934863  12.9293  0.355008 i
 0.844619  13.1313  0.535367 i
 0.720022  13.3333  0.693952 i
 0.566138  13.5354  0.82431 i
 0.389228  13.7374  0.921142 i
 0.196486  13.9394  0.980507 i
-0.00424719  14.1414  0.999991 i
-0.204808  14.3434  0.978802 i
-0.397038  14.5455  0.917802 i
-0.57312  14.7475  0.819472 i
-0.72589  14.9495  0.68781 i
-0.849136  15.1515  0.528174 i
-0.937845  15.3535  0.347054 i
-0.988408  15.5556  0.151818 i
-0.99877  15.7576 -0.0495921 i
-0.968507  15.9596 -0.248986 i
-0.898852  16.1616 -0.438252 i
-0.792638  16.3636 -0.609693 i
-0.654184  16.5657 -0.756336 i
-0.489122  16.7677 -0.872215 i
-0.304166  16.9697 -0.952619 i
-0.106838  17.1717 -0.994276 i
 0.094835  17.3737 -0.995493 i
 0.292651  17.5758 -0.956219 i
 0.478564  17.7778 -0.878053 i
 0.645012  17.9798 -0.764173 i
 0.785224  18.1818 -0.619211 i
 0.8935  18.3838 -0.449064 i
 0.965433  18.5859 -0.260652 i
 0.998099  18.7879 -0.061638 i
 0.990168  18.9899  0.139883 i
 0.941964  19.1919  0.335714 i
 0.855447  19.3939  0.517891 i
 0.734136  19.596  0.679003 i
 0.582964  19.798  0.812498 i
 0.408082  20  0.912945 i

# IsoCurve 9, 100 points
# x y z type
 1  0  0 i
 0.979663  0.20202  0.200649 i
 0.91948  0.40404  0.393137 i
 0.821898  0.606061  0.569634 i
 0.690887  0.808081  0.722963 i
 0.531775  1.0101  0.846886 i
 0.351034  1.21212  0.936363 i
 0.156015  1.41414  0.987755 i
-0.0453497  1.61616  0.998971 i
-0.24487  1.81818  0.969556 i
-0.43443  2.0202  0.900705 i
-0.606321  2.22222  0.79522 i
-0.75355  2.42424  0.65739 i
-0.87013  2.62626  0.492822 i
-0.951319  2.82828  0.308209 i
-0.993814  3.0303  0.11106 i
-0.995887  3.23232 -0.0906061 i
-0.957454  3.43434 -0.288587 i
-0.880077  3.63636 -0.47483 i
-0.766905  3.83838 -0.64176 i
-0.622541  4.0404 -0.782588 i
-0.452855  4.24242 -0.891584 i
-0.26475  4.44444 -0.964317 i
-0.0658766  4.64646 -0.997828 i
 0.135676  4.84848 -0.990753 i
 0.33171  5.05051 -0.943381 i
 0.514253  5.25253 -0.857639 i
 0.675879  5.45455 -0.737013 i
 0.810014  5.65657 -0.58641 i
 0.911204  5.85859 -0.411956 i
 0.975331  6.06061 -0.220746 i
 0.999789  6.26263 -0.0205576 i
 0.983581  6.46465  0.180467 i
 0.927368  6.66667  0.374151 i
 0.833435  6.86869  0.552617 i
 0.705604  7.07071  0.708607 i
 0.549073  7.27273  0.835775 i
 0.370209  7.47475  0.928948 i
 0.176288  7.67677  0.984339 i
-0.0248037  7.87879  0.999692 i
-0.224886  8.08081  0.974385 i
-0.415822  8.28283  0.909446 i
-0.589845  8.48485  0.807517 i
-0.739877  8.68687  0.672743 i
-0.859815  8.88889  0.510606 i
-0.944782  9.09091  0.327701 i
-0.991321  9.29293  0.131467 i
-0.997539  9.49495 -0.070114 i
-0.963184  9.69697 -0.268843 i
-0.889653  9.89899 -0.456637 i
-0.779936  10.101 -0.625859 i
-0.638497  10.303 -0.769624 i
-0.471088  10.5051 -0.882086 i
-0.284518  10.7071 -0.958671 i
-0.0863756  10.9091 -0.996263 i
 0.11528  11.1111 -0.993333 i
 0.312247  11.3131 -0.950001 i
 0.496513  11.5152 -0.868029 i
 0.660585  11.7172 -0.750751 i
 0.797788  11.9192 -0.602938 i
 0.902542  12.1212 -0.430601 i
 0.970587  12.3232 -0.24075 i
 0.999155  12.5253 -0.0411065 i
 0.987083  12.7273  0.160209 i
 0.934863  12.9293  0.355008 i
 0.844619  13.1313  0.535367 i
 0.720022  13.3333  0.693952 i
 0.566138  13.5354  0.82431 i
 0.389228  13.7374  0.921142 i
 0.196486  13.9394  0.980507 i
-0.00424719  14.1414  0.999991 i
-0.204808  14.3434  0.978802 i
-0.397038  14.5455  0.917802 i
-0.57312  14.7475  0.819472 i
-0.72589  14.9495  0.68781 i
-0.849136  15.1515  0.528174 i
-0.937845  15.3535  0.347054 i
-0.988408  15.5556  0.151818 i
-0.99877  15.7576 -0.0495921 i
-0.968507  15.9596 -0.248986 i
-0.898852  16.1616 -0.438252 i
-0.792638  16.3636 -0.609693 i
-0.654184  16.5657 -0.756336 i
-0.489122  16.7677 -0.872215 i
-0.304166  16.9697 -0.952619 i
-0.106838  17.1717 -0.994276 i
 0.094835  17.3737 -0.995493 i
 0.292651  17.5758 -0.956219 i
 0.478564  17.7778 -0.878053 i
 0.645012  17.9798 -0.764173 i
 0.785224  18.1818 -0.619211 i
 0.8935  18.3838 -0.449064 i
 0.965433  18.5859 -0.260652 i
 0.998099  18.7879 -0.061638 i
 0.990168  18.9899  0.139883 i
 0.941964  19.1919  0.335714 i
 0.855447  19.3939  0.517891 i
 0.734136  19.596  0.679003 i
 0.582964  19.798  0.812498 i
 0.408082  20  0.912945 i

